id	Adipocyte:mean	Adipocyte:percent_expressed	Endo:mean	Endo:percent_expressed	Erythrocyte:mean	Erythrocyte:percent_expressed	FAP:mean	FAP:percent_expressed	Fibroblast-like:mean	Fibroblast-like:percent_expressed	Lymphocyte:mean	Lymphocyte:percent_expressed	Mast cell:mean	Mast cell:percent_expressed	MuSC:mean	MuSC:percent_expressed	Myeloid cell:mean	Myeloid cell:percent_expressed	Pericyte:mean	Pericyte:percent_expressed	Schwann cell:mean	Schwann cell:percent_expressed	SMC:mean	SMC:percent_expressed	Specialized MF:mean	Specialized MF:percent_expressed	Type I:mean	Type I:percent_expressed	Type II:mean	Type II:percent_expressed
VIM	1.0878066552760324	48.85654885654886	1.7235299433287343	69.86696516984544	0.5892727280204947	31.363636363636367	2.853866154048243	87.3213070115725	3.0129375211059455	89.44317786622358	1.5587061637379602	64.75152962244441	3.1826586221764006	86.5558912386707	2.4702543146667515	80.4567911233498	1.6275851668850285	57.09108480309254	1.437231808023308	61.155288822205556	0.20977358519679534	8.679245283018867	2.5018152310081874	85.13075014315709	0.1712940236310249	10.55308060855678	0.011576256989984709	0.9669154780380854	0.02054814349741269	1.8257794043343485
FBN1	0.6313721422539741	32.74428274428274	0.2802165579713976	19.266371033710765	0.20390909043225375	10.454545454545453	1.868137338210767	83.53046289993192	2.2276413305621365	87.6811314192975	0.08680346199664193	6.581107297418296	0.21567975907527429	14.350453172205437	0.9568016515349129	54.56386166680165	0.1417528389250816	12.249335588306353	0.247398349589096	17.43435858964741	0.11564151048660279	6.037735849056604	0.2007577780048955	15.861805688108419	0.03444313692077562	2.9965537530469866	0.015106668631016607	1.9387579139260462	0.014656215420368468	1.5485668246186621
PTPRC	0.00495842000055214	0.5197505197505198	0.01667111553195608	1.3131269643087786	0.03440909114750949	2.272727272727273	0.010856449954944598	1.0083390061266166	0.012338962081599961	1.1283279879438928	2.3505327567411456	86.50947619758244	0.8991842870895956	52.11480362537765	0.010744310337985258	0.9152020733781485	1.2899842944250903	66.56197149069824	0.018679669863821774	1.350337584396099	0.011113207520179028	0.5660377358490566	0.014773811802970565	1.1070815041038367	0.005093300793997238	0.4034630579137598	0.003174562117590202	0.28453181583031556	0.0029861120513149392	0.28677163418864116
HLA-A	0.11510394925634974	7.6923076923076925	2.4036436057156965	82.52464803892022	1.0056363636797125	48.63636363636364	1.2542494884885498	67.32471068754255	1.3164098293292816	70.39684686425286	2.7724235208576924	87.53917325772272	1.7529305142668439	77.94561933534743	1.1675500114253536	61.55341378472503	1.2909507116032384	57.55013288233874	1.1426001498194807	55.25881470367592	0.2786226409786152	13.584905660377359	1.055350257185812	60.83221988929185	0.21789400651823954	15.890560645540894	0.10291343330589495	11.643633138718497	0.08172581893263697	8.648213139603163
HLA-C	0.14341995897635104	9.563409563409564	2.142090670416408	78.22792439832953	0.6877272706140172	36.81818181818181	0.9009240975564154	54.275867937372354	0.8765721234989118	55.17987557479037	2.1332517535788607	81.55499179226982	1.401178245908184	70.99697885196375	0.8977152331812697	52.7172592532599	1.1542908915015457	57.41725054360957	1.2219684920115124	57.899474868717185	0.10835849001722515	6.226415094339623	1.007627408902457	59.419736590952475	0.13745187850608123	11.05740943094898	0.07065553167053029	8.18737220703077	0.057087219493417926	6.093214436903413
TMSB4X	0.22403326343257066	12.058212058212058	3.1864950287678626	83.20919619408447	1.1859545439481736	55.90909090909091	2.3745490140760275	81.3436010891763	2.7462436734326277	84.5241315352216	3.3638143581773936	86.89747798835995	3.5275075579923083	87.00906344410876	1.206059771285277	58.6620231635215	2.454373038521045	76.67310944672626	2.2531627911210776	70.62265566391598	1.4324528319655725	53.0188679245283	3.1723325112679914	84.3481580454285	0.18150500092634128	11.927376649575523	0.02785566476556915	2.914295568201414	0.04230619012654454	4.274262928621175
MT-CO3	0.5827858638204247	22.86902286902287	2.69400224078187	86.17987686743875	1.556363631920381	55.90909090909091	3.125155296135463	91.66950306330838	3.2146682679017484	93.46188028903745	3.00503358124259	90.37457095955827	3.224909366797825	89.27492447129909	3.094761484785854	87.02518830485138	2.2948828239219345	72.58999758395748	2.67794298954526	80.3900975243811	0.4487547182249573	17.735849056603772	3.4845924834210775	90.37984348158045	0.8403101630331669	30.221904681852568	0.23703273956360854	12.050107161333234	0.35766813687040677	17.783938057327013
HLA-F	0.06641372186354441	3.9501039501039505	1.2057441764319867	62.38859947474922	0.5766818154941905	30.454545454545457	0.247330241417544	19.269060585432264	0.21150044414607305	18.737200046369644	1.6121071475625945	73.0637218325623	0.2688972803221008	18.882175226586103	0.28233498035099397	20.401717016279257	0.4109084313079682	26.733510509784974	0.40384846187943546	26.136534133533385	0.009075471590150078	0.7547169811320755	0.42316090863814537	30.731055544951325	0.0137627132674085	1.1515508111288562	0.0024679131927081346	0.21309092700711943	0.002569883508735255	0.2335140449821792
SRGN	0.047297296995246735	3.5343035343035343	1.2884078868512634	59.94316958711844	0.3480454542420127	18.181818181818183	0.08300246755272997	7.309394145677331	0.3003489312749405	21.18319873256308	2.005861811692315	70.06416952693628	3.3354531753459367	85.64954682779457	0.062449177845225134	5.053859237061634	1.7000712750902152	62.20101473785938	0.25358439589230886	16.27906976744186	0.04283018809444499	2.0754716981132075	0.1390914294778402	10.612712349685054	0.015219803251976765	1.2818357569135077	0.004578006053434958	0.4951592639124972	0.006072321063587656	0.6145106446899452
TPSB2	0.0010810810414272633	0.10395010395010396	0.016555302047481086	1.3174322986179876	0.003363636406985196	0.45454545454545453	0.009881296795472715	0.9402654867256638	0.019547509539739542	1.8006878163762123	0.011022235489375483	0.7013878525593196	4.230740175458667	86.10271903323263	0.01029480848561861	0.8099133392726977	0.016212853381428693	1.5341870016912298	0.015878469579128602	1.1852963240810204	0	0	0.012567283765212524	1.0689062798243938	0.0022820879293407943	0.19752878877027824	0.000993890574118108	0.13672308033404773	0.0009262723743351492	0.10105286157123544
